SKUPINA;Kat_st;Jama-ime;Jama-tip;Ndm_vis;Globina;Dolžina;T (povpr.letna) 71-2000;Količina padavin (kor.povpr.letna) 71-2000;T (povpr.letna) 81-2000;Količina padavin (kor.povpr.letna) 81-2000;Chol_STEVILO;Chol1_mm;Chol2_mm;Chol3_mm;Chol4_mm;Chol5_mm;Chol6_mm;Cara_STEVILO;Cara1_mm;Cara2_mm;Cara3_mm;Cara4_mm;Cara5_mm;;;;T (povpr.letna) 71-2000;Količina padavin (kor.povpr.letna) 71-2000
B6;4463;Jama v Bihki;5,3-brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;1295;58;250;4-6;2000-2600;4-6;2000-2600;1;2,50;;;;;;2;5,60;6,30;;;;;;;;
B7;4477;Jama v Fonžlohtu;5,2 - vodoravna jama;1380;6;28;4-6;2600-3200;4-6;2000-2600;2;2,50;3,65;;;;;0;;;;;;;;;;
B7;4478;Jama v Plajžanu;5,3 - brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;1520;10;16;4-6;2600-3200;4-6;2000-2600;1;2,50;;;;;;0;;;;;;;;;;
B7;4483;Brezno pri Leški planini;4,3 - jama z občasnim tokom;1161;536;4019;4-6;2000-2600;4-6;1800-2000;1;2,50;;;;;;1;5,70;;;;;;;;;
B7;4500;Brezno presenečenj;4,3 - jama z občasnim tokom, 5,4 - brezno;993;472;950;6-8;1500-1600;6-8;1500-1600;1;2,97;;;;;;2;8,00;8,50;;;;;;;;
B7;4613;Kristanova jama;5,6 - poševno in stopnjasto brezno;605;17;32;8-10;1300-1400;8-10;1300-1400;0;;;;;;;1;5,20;;;;;;;;;
B7;4618;Štravsova luknja;1,1 - jama stalni izvir;425;18;170;8-10;1200-1300;8-10;1200-1300;1;2,20;;;;;;0;;;;;;;;;;
B7;4709;Brezno ob novi cesti na severovzhodnem vznožju Črnega vrha;5,5 - stopnjasto brezno, poševno brezno;1330;16;17;4-6;2000-2600;4-6;2000-2600;2;2,50;3,65;;;;;2;5,70;6,30;;;;;;;;
B7;4713;Jama na Špiku;5,3 - brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;800;20;78;6-8;1800-2000;8-10;1600-1800;1;2,97;;;;;;1;6,00;;;;;;;;;
B7;4768;Kapniška jama v Drvodelniku;5,3 - brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;455;32;80;8-10;1400-1500;8-10;1300-1400;1;1,76;;;;;;0;;;;;;;;;;
B7;5058;Kamniška jama;5,4 - brezno;1400;226;1570;4-6;2000-2600;4-6;2000-2600;1;2,97;;;;;;5;5,26;5,73;6,34;10,00;11,00;;;;;
B7;5237;Lekšanova Mrzla jama;5,6 - poševno in stopnjasto brezno;1007;28;35;6-8;2000-2600;6-8;1800-2000;1;2,57;;;;;;0;;;;;;;;;;
B7;5849;Jama Kreščak;4,3 - jama z občasnim tokom, 5,2 - vodoravna jama;293;38;1279;8-10;1200-1300;10-12;1100-1200;1;1,99;;;;;;0;;;;;;;;;;
B7;6000;Skalarjevo brezno;4,2 - jama s stalnim tokom, 5,4 - brezno;2328;911;4765;0-2;3200-4000;0-2;3200-4000;0;;;;;;;1;5,90;;;;;;;;;
B7;6258;Jama sv. Loja;5,3 - brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;1056;41;210;6-8;2000-2600;6-8;1800-2000;1;5,00;;;;;;0;;;;;;;;;;
B7;6640;Močilnik;5,2 - vodoravna jama;427;6;50;8-10;1600-1800;8-10;1600-1800;1;2,69;;;;;;0;;;;;;;;;;
B7;6654;Felajeva luknja 1;5,6 - poševno in stopnjasto brezno;990;42;42;6-8;2000-2600;6-8;1800-2000;1;2,57;;;;;;0;;;;;;;;;;
B7;6759;Veliki Mižuk;2,2 - jama občasni ponor;470;33;164;8-10;1600-1800;8-10;1600-1800;1;5,00;;;;;;0;;;;;;;;;;
B7;6908;Jama na Pucovem Kuclu;5,2 - vodoravna jama;620;11;80;8-10;2000-2600;8-10;1800-2000;1;2,97;;;;;;3;5,95;6,00;6,60;;;;;;;
B7;6924;Izvir Bilpa;1,1 - jama stalni izvir;198;41;1180;8-10;1600-1800;10-12;1600-1800;1;5,00;;;;;;0;;;;;;;;;;
B7;7053;Kosmatula;5,3 - brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;1610;26;74;2-4;2000-2600;4-6;2000-2600;0;;;;;;;1;5,60;;;;;;;;;
B7;7190;Obcestna jama;5,3 - brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;1265;10;15;4-6;2000-2600;4-6;2000-2600;1;2,50;;;;;;1;6,30;;;;;;;;;
B7;7274;Majganica;5,6 - poševno in stopnjasto brezno;300;29;31;8-10;1600-1800;8-10;1600-1800;1;3,05;;;;;;2;5,75;6,60;;;;;;;;
B7;7367;Jama Zvirče;5,3 - brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;470;52;184;8-10;1400-1500;8-10;1400-1500;1;1,76;;;;;;0;;;;;;;;;;
B7;7400;Mravljetovo brezno v Gošarjevih rupah;5,3 - brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;612;74;772;8-10;1800-2000;8-10;1800-2000;1;2,97;;;;;;2;6,00;6,60;;;;;;;;
B7;7401;Klomsko brezno;5,6 - poševno in stopnjasto brezno;1505;384;499;2-4;2000-2600;2-4;2000-2600;1;2,50;;;;;;1;6,30;;;;;;;;;
B7;7728;Volavfov keuder;5,3 - brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;380;13;33;8-10;1300-1400;8-10;1300-1400;1;2,50;;;;;;1;5,20;;;;;;;;;
B7;7729;Jama pod svetim Andrejem;1,2 - jama občasni izvir, bruhalnik;320;10;191;8-10;1300-1400;8-10;1300-1400;1;2,10;;;;;;0;;;;;;;;;;
B7;7937;Bela griža 1;5,6 - poševno in stopnjasto brezno;1190;884;2054;6-8;2600-3200;6-8;2600-3200;1;5,83;;;;;;0;;;;;;;;;;
B7;8050;Prisankova jama;5,3 - brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;2390;102;224;0-2;2600-3200;0-2;2600-3200;1;3,25;;;;;;1;6,10;;;;;;;;;
B7;8052;Maužarjeva jama;5,3 - brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;905;17;35;6-8;1800-2000;6-8;1600-1800;1;3,05;;;;;;0;;;;;;;;;;
B7;9500;Čaganka;5,3 - brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;690;448;1800;8-10;1500-1600;8-10;1500-1600;1;5,00;;;;;;0;;;;;;;;;;
B7;9834;Brezno treh src;5,6 - poševno in stopnjasto brezno;1260;606;715;4-6;2000-2600;4-6;2000-2600;2;5,00;5,30;;;;;0;;;;;;;;;;
B7;10032;Jama jugozahodno od Mašuna;5,5 - stopnjasto brezno, poševno brezno;990;16;22;6-8;2000-2600;6-8;1800-2000;1;2,57;;;;;;0;;;;;;;;;;
B7;10360;Ušiva jama;5,2 - vodoravna jama;575;1;10;6-8;1600-1800;6-8;1500-1600;1;2,97;;;;;;0;;;;;;;;;;
B7;11518;Dobra nada;5,6 - poševno in stopnjasto brezno;1360;300;1112;4-6;2600-3200;4-6;2600-3200;1;5,38;;;;;;0;;;;;;;;;;
